UserID,UserNo,Started,Ended,Q1,Q2,UK,Q3.1. 0 - 7 years old,Q3.2. 8 - 14 years old,Q3.3. 15 - 19 years old,Q3.4. 20 +,Q4,Q5,Q6
140300045,1,06/05/2020 18:49,06/05/2020 18:53,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Canada,,-,-,-,2,Once or twice a year,"patterns 
methodology",No
140300569,2,06/05/2020 18:57,06/05/2020 18:58,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Denmark,,-,-,-,6,Every day,Being curious,Yes
140301705,3,06/05/2020 19:16,06/05/2020 19:19,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,NG13,1,1,1,-,-,Every day,"""... you're a scientist""
""...you do science""
""...you try your best not to explode things""
""...doing lab! Living in a lab.""",Yes
140302525,4,06/05/2020 19:29,06/05/2020 19:31,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ireland,,-,-,-,6,Once or twice a month,Curiosity,Yes
140303951,5,06/05/2020 19:56,06/05/2020 19:58,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,OX11,1,-,2,-,2,Every day,Curiosity,Yes
140304148,6,06/05/2020 20:00,06/05/2020 20:02,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Wr5,1,1,1,-,2,Every day,understanding magic,Yes
140304412,7,06/05/2020 20:06,06/05/2020 20:09,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Brazil,,-,-,1,5,Once or twice a week,curiosity always,Yes
140305719,8,06/05/2020 20:36,06/05/2020 20:40,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Spain,,-,2,-,2,Every day,"honesty.
passion.
joy.
thrill.",Yes
140306159,9,06/05/2020 20:43,06/05/2020 20:48,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,PH33,1,-,1,1,3,Every day,exploring,Yes
140306235,10,06/05/2020 20:47,06/05/2020 20:53,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,India,,-,-,-,6,Every day,Science-freak,Yes
140306890,12,06/05/2020 21:03,06/05/2020 21:04,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Germany,,-,1,-,2,Every day,Curiosity,Yes
140307072,13,06/05/2020 21:07,06/05/2020 21:08,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,ox1 2re,1,2,-,-,-,Every day,researching,Yes
140307456,14,06/05/2020 21:17,06/05/2020 21:19,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Turkey,,1,-,-,2,Once or twice a week,desire to learn and discover,Yes
140307587,15,06/05/2020 21:21,06/05/2020 21:23,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,UAE,,2,-,-,2,Every day,To understand our environment,Yes
140306202,16,06/05/2020 20:46,06/05/2020 21:24,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,BH3,1,-,2,-,2,Every day,"explaining things, surprising, strange, exciting",Yes
140307727,17,06/05/2020 21:24,06/05/2020 21:25,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,UAE,,2,-,-,2,Every day,To understand our environment,Yes
140308692,18,06/05/2020 21:49,06/05/2020 21:51,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Uk,1,1,-,-,2,Every day,Asking why. Investigating what happens.,Yes
140309294,19,06/05/2020 22:05,06/05/2020 22:06,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ox12,1,1,-,-,2,Every day,Having a job,Yes
