Players,Would you be a scientist or engineer? - PreGame,Would you be a scientist or engineer? - PostGame,I like Science - PreGame,I like Science - PostGame,I see science in my daily life - PreGame,I see science in my daily life - PostGame,Did you have fun?,Being a scientist means....Pre1,Being a scientist means....Pre2,Being a scientist means....Pre3,Being a scientist means....Pre4,Being a scientist means....Pre5,Being a scientist means....Post1,Being a scientist means....Post2,Being a scientist means....Post3,Being a scientist means....Post4,Being a scientist means....Post5,,,,
5,5,5,5,5,5,5,3,Research,Analysing data,experiments,maths,,failures,testing,hypothesis,,,,,,
5,2,5,4,5,3,5,5,runs the country,plays a guitar,mostly have children,waffle a lot,,,,,,,,,,
5,5,5,5,5,5,5,3,pushing discoveries,investigation,glaciologist,discovering,,research,,,,,,,,
4,3,4,4,4,4,4,4,wearing a lab coat,innovation to make life better,research in a field,,,being lucky,,,,,,,,
5,3,3,5,3,4,5,2.5,research,innovation,thinking,finding out new things,,failure,striving for success,collaboration and sharing,,,,,,
5,3,4,5,5,5,5,5,research,solving problems,being inquisitive,understand the world,,collaboration,failure,,,,,,,
4,4,4,4,4,4,4,4,Critical thinking,Rational,Mathematical,Creative ,Logical,Patient,Communication,Observent,Insightful,,,,,
5,5,5,5,5,5,5,5,Innovation,Research,Experimentation,Curiosity,Exciting,,,,,,,,,
6,5,5,4,4,6,5,5,Modelling,Creativity,Problem solving,Experimentation,Innovating,,,,,,,,,
6,5,5,6,5,6,6,5,Smart,Co-operative,Patient,Good with computers,Intuitive,,,,,,,,,
6,6,6,6,6,6,6,6,Innovative,Research,Problem solving,New learning,Theorius,,,,,,,,,
6,5,5,6,6,6,6,6,Alive,Science,Money,Being methodical,Questioning,Improving from failures,Collaborating,Finding solutions,,,,,,
4,4,4,4,4,4,4,4,Research,Curious,Problem solving,Experiments,,Discover,Success / Failure,Tiring,Collaboration,,,,,
5,5,5,5,5,5,5,5,Creative,Teamwork,Innovative,Alternatively-thinking,Experimenting,Caffiene,Thirst for knowledge,Dedication,Curiosity,Perserverance,,,,
5,5,5,5,4,5,5,5,Smart,Development,Logical,Testing,Unknown,Research,Luck,Collaberation,Risks,Team,,,,
4,3,4,4,4,4,4,4,Wearing lab coats,Doing experiments,Innovations,Research,,Luck,Sabotage,,,,,,,
5,3,3,4,3,4,5,3,Research,Innovation,Thinking,Finding out things,,Failure,Striving for success,Collaboration,Sharing,,,,,
5,3,4,5,5,5,5,5,Research,Being inquisitive,Solving problems,Understand the world,,Collaboration,Sometimes failure,,,,,,,
5,5,5,5,5,5,5,3,Discovering stuff,Investing new ways,Pushing depths of discovery,Glaciologist,,Research,Loving science,,,,,,,
5,5,5,5,5,5,5,4,Research,Analysing data,Experiments,,,Failure,Testing,Hypothesis,,,,,,
5,2,5,4,5,3,5,5,Runs the country,Plays guitar,Has children,Waffle a lot,,,,,,,,,,
4,3,3,3,3,4,4,4,Working with science,Discovering life changing facts,,,,,,,,,,,,
5,0,0,1,1,5,5,5,Experiments,Smart,,,,,,,,,,,,
4,1,2,4,4,4,4,4,Creativity,Know-it-all,Experiments,Clever,Teach others,Completing tasks,Astrologist,,,,,,,
4,4,4,4,4,4,4,4,Experiments,Science,Investigating,Discovering,Physics,,,,,,,,,
4,4,4,4,4,4,4,4,Find out how things work,Discovering new things,,,,Finding things you didn't know,,,,,,,,
5,0,1,3,1,1,1,2,Physics,Biology,Experiments,Chemistry,,,,,,,,,,
5,2,5,5,5,4,5,4,Clever,Hard working,Determined,Experimental,Perseverance,,,,,,,,,
4,0,0,1,1,2,3,2,Knowledge,Experiments,Equations,Investigations,Experimental,,,,,,,,,
4,2,2,2,2,4,4,3,Smart ,Hard working,Creative,team-work,Persevering,,,,,,,,,
5,3,3,5,5,4,4,3,,,,,,,,,,,,,,
5,2,2,5,5,5,5,5,Smart ,Good at maths,Fun,Excited,Not giving up,Eventful,,,,,,,,
5,1,0,1,2,5,5,2,Science,Understanding the world,Smart,Understanding complicated things,,Having fun,Experimenting,Risk taking,,,,,,
4,2,2,4,4,4,4,4,Discover,Invent things,Help the world,Experiment and try,,,,,,,,,,
4,3,2,4,4,2,3,2,Experiments,Discoveries,Explosions,Chemicals,,Success,Chemist,Job,Physics,,,,,
5,2,2,2,4,5,5,5,Experiments,Chemicals,Smart,,,Fun,Experiments,New ,Cool,,,,,
5,5,3,5,5,5,5,5,Research,Earth,Lab,Experiments,Chemicals,,,,,,,,,
5,0,1,5,5,5,5,1,Finding to experiment with new species,,,,,Learn and find out lots of new discoveries a,See how things work,,,,,,,
