Word,Happiness score,Times used,Weighted mean
Laughter,8.5,,
Fun,7.96,30,6.52
Excitement,7.62,20,6.52
Creativity*,7.4,21,6.52
Progress,7.26,11,6.52
Knowledge,7.24,18,6.52
Cool,7.2,11,6.52
Learning,6.92,33,6.52
Understanding,6.84,24,6.52
Discovery,6.54,69,6.52
Innovation*,6.46,21,6.52
Research,6.46,18,6.52
Exploration*,6.37,55,6.52
Curiosity*,6.36,85,6.52
Thinking,6.28,20,6.52
Experiments,6.18,24,6.52
Solving,6.04,16,6.52
Everything,5.96,14,6.52
Finding,5.8,20,6.52
Questioning*,4.98,24,6.52
Investigating,4.84,17,6.52
Sadness,1.88,,
